		NCBI 								Transposon mutants									In vitro screening		In vivo screening		UniProt							Pubmed											String 		Pubmed	effectors.org			Phobius	RCSB PDB	Pubmed		ODB/DOOR/Pubmed
CT107	CTL0362	L2/434/BU	471472	-	445916	447022	+	5858135															YP_001654446.1	368	O84109	DNA glycosylase						1	25920978					Constitutive	12730178		272561.CT107.	mutL, uvrD	none				Non-Cytoplasmic	Yes			
CT108	CTL0363	L2/434/BU	471472	-	447076	447831	+	5858014															YP_001654447.1	251	O84110	hypothetical protein CTL0363						2	25920978					Constitutive	12730178		272561.CT108.	none	none				Non-Cytoplasmic	Yes			
CT109	CTL0364	L2/434/BU	471472	-	447844	448632	-	5858527															YP_001654448.1	262	O84111	hypothetical protein CTL0364						1	25920978					Constitutive	12730178		272561.CT109.	none	none				Non-Cytoplasmic	No			
CT110	CTL0365	L2/434/BU	471472	groEL	448761	450395	-	5858059															YP_001654449.1	544	P0C0Z7	chaperonin GroEL						3	25920978					Mid	12730178		272561.CT110.	groS, dnaK, grpE, hrcA, thrS, pheT, clpB, rpoA, clpC, tuf	none				Non-Cytoplasmic	Yes			
CT111	CTL0366	L2/434/BU	471472	groES	450434	450742	-	5858801															YP_001654450.1	102	P0C0Z8	co-chaperonin GroES						0	25920978					ND	12730178		272561.CT111.	groL, CT755, groel2, dnaK, grpE, clpB, hrcA	none				Non-Cytoplasmic	Yes			
CT112	CTL0367	L2/434/BU	471472	pepF	450914	452740	-	5858746															YP_001654451.1	608	O84114	oligoendopeptidase F						3	25920978					Constitutive	12730178		272561.CT112.	none	none				Non-Cytoplasmic	Yes			
CT113	CTL0368	L2/434/BU	471472	clpB	453042	455645	+	5858318															YP_001654452.1	867	O84115	chaperone-protease ClpB						5	25920978					Constitutive	12730178		272561.CT113.	dnaK, grpE, clpP2, groL, groS, dnaJ, clpP1	none				Non-Cytoplasmic	yes			
CT114	CTL0369	L2/434/BU	471472	-	455671	457131	+	5858663															YP_001654453.1	486	O84116	hypothetical protein CTL0369						7	25920978					Constitutive	12730178		272561.CT114.	none	none				Non-Cytoplasmic	no			
CT115	CTL0370	L2/434/BU	471472	incD	457317	457799	+	5858590															YP_001654454.1	160	P0DJI3	inclusion membrane protein D						5	25920978					Constitutive	12730178		272561.CT115.	incF, incE, incG	none				Cytoplasmic	Yes			
CT116	CTL0371	L2/434/BU	471472	incE	457866	458264	+	5858183															YP_001654455.1	132	P0DJI4	inclusion membrane protein E						7	25920978					Constitutive	12730178		272561.CT116.	incF, incG, incD	none				Non-Cytoplasmic	Yes			
CT117	CTL0372	L2/434/BU	471472	incF	458269	458583	+	5858025															YP_001654456.1	104	P0DJI5	inclusion membrane protein F						2	25920978					Constitutive	12730178		272561.CT117.	incE, incD, incG	none				Cytoplasmic	Yes			
CT118	CTL0373	L2/434/BU	471472	incG	458670	459173	+	5857996															YP_001654457.1	167	O84120	inclusion membrane protein G						1	25920978					Constitutive	12730178		272561.CT118.	incE, incF, incD, pkn1	none				Cytoplasmic	Yes			
CT119	CTL0374	L2/434/BU	471472	incA	459340	460080	-	5858137															YP_001654458.1	246	P0CI27	inclusion membrane protein A						2	25920978	subst	KH unpub			Constitutive	12730178		272561.CT119.	none	none				Cytoplasmic	Yes			
CT120	CTL0375	L2/434/BU	471472	-	460207	460482	-	5858165															YP_001654459.1	91	O84122	hypothetical protein CTL0375						0	25920978					Constitutive	12730178		272561.CT120.	none	none				Non-Cytoplasmic	no			
CT121	CTL0376	L2/434/BU	471472	araD	460581	461267	+	5858515															YP_001654460.1	228	O84123	ribulose-phosphate 3-epimerase						1	25920978					Constitutive	12730178		272561.CT121.	tktB, gnd, rpiA	none				Cytoplasmic	Yes			
CT122	CTL0377	L2/434/BU	471472	efp	461254	461811	+	5858476															YP_001654461.1	185	O84124	elongation factor P						3	25920978					Constitutive	12730178		272561.CT122.	CT384, CT350, rpsI, rpsE, accC, rpsD, accB, rpsS, rpsC, rpsM	none				Non Cytoplasmic	yes			
CT123	CTL0378	L2/434/BU	471472	accB	461824	462318	+	5858669															YP_001654462.1	164	O84125	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit						0	25920978					ND	12730178		272561.CT123.	accC, fabD, accA, accD, sucD, birA, fabH, sucC, efp1, aceF	none				Cytoplasmic	yes			
CT124	CTL0379	L2/434/BU	471472	accC	462322	463695	+	5858489															YP_001654463.1	457	O84126	acetyl-CoA carboxylase biotin carboxylase subunit						2	25920978					Constitutive	12730178		272561.CT124.	accB, accD, accA, fabD, fabH, sucD, sucC, birA, ribD, efp1	none				Non Cytoplasmic	No			
CT125	CTL0380	L2/434/BU	471472	rplM	463918	464370	+	5858611															YP_001654464.1	150	O84127	50S ribosomal protein L13						2	25920978					Constitutive	12730178		272561.CT125.	rpsI, rpsC, rplN, rpsS, rplB, rplF, rplD, rpsJ, rpsM, rplC	none				Cytoplasmic	Yes			
CT126	CTL0381	L2/434/BU	471472	rpsI	464396	464785	+	5858125															YP_001654465.1	129	O84128	30S ribosomal protein S9						1	25920978					Constitutive	12730178		272561.CT126.	rplM, rpsC, rpsJ, rpsS, rpsM, rpsK, rs2, rpmC, rpsE, rplB	none				Non-Cytoplasmic	Yes			
CT127	CTL0382	L2/434/BU	471472	-	464833	465684	-	5858011															YP_001654466.1	283	O84129	chitinase						2	25920978					Constitutive	12730178		none	none	none				Non-Cytoplasmic	No			
CT128	CTL0383	L2/434/BU	471472	adk	465780	466517	-	5858151															YP_001654467.1	245	O84130	adenylate kinase						1	25920978					Constitutive	12730178		272561.CT128.	nrdB, nrdA, ndk, rpmJ, rpsH, rplX, aroE, rplR, pnp, rpsC	none				Non-Cytoplasmic	No			
CT129	CTL0384	L2/434/BU	471472	-	466724	467368	+	5858477															YP_001654468.1	214	O84131	ABC transporter permease						2	25920978					Constitutive	12730178		272561.CT129.	artJ, glnQ, fliY	none				Cytoplasmic*	No			
CT130	CTL0385	L2/434/BU	471472	-	467365	468066	+	5858184															YP_001654469.1	233	O84132	ABC transporter ATP-binding protein						0	25920978					Constitutive	12730178		272561.CT130.	glnP, artJ, fliY	none				Non-Cytoplasmic	Yes			
CT131	CTL0386	L2/434/BU	471472	-	468069	471485	-	5858539															YP_001654470.1	1138	O84133	hypothetical protein CTL0386						9	25920978					Constitutive	12730178		272561.CT131.	CT132	none				Non-Cytoplasmic	No			
CT132	CTL0387	L2/434/BU	471472	-	471482	472759	-	5858506															YP_001654471.1	425	O84134	hypothetical protein CTL0387						2	25920978					Constitutive	12730178		272561.CT132.	CT131	none				???	No			
CT133	CTL0388	L2/434/BU	471472	-	472838	473641	-	5858559															YP_001654472.1	267	O84135	methyltransferase						2	25920978					Constitutive	12730178		272561.CT133.	none	none				Non-Cytoplasmic	No			
CT134	CTL0389	L2/434/BU	471472	-	474097	474510	+	5858533															YP_001654473.1	137	O84136	hypothetical protein CTL0389						3	25920978					Constitutive	12730178		272561.CT134.	none	none				Cytoplasmic*	No			
CT135	CTL0390	L2/434/BU	471472	-	474568	475650	+	5858497															YP_001654474.1	360	O84137	hypothetical protein CTL0390						9	25920978					Constitutive	12730178		272561.CT135.	none	none				Cytoplasmic*	No			
CT136	CTL0391	L2/434/BU	471472	-	475740	476459	+	5858150															YP_001654475.1	239	O84138	phospholipase-carboxylesterase family protein						1	25920978					Constitutive	12730178		272561.CT136.	none	none				Cytoplasmic	No			
CT137	CTL0392	L2/434/BU	471472	-	476478	477323	+	5858536															YP_001654476.1	281	O84139	hypothetical protein CTL0392						2	25920978					Constitutive	12730178		272561.CT137.	CT138	none				Non-Cytoplasmic	Yes			
CT138	CTL0393	L2/434/BU	471472	-	477301	478248	+	5858129															YP_001654477.1	315	O84140	microsomal dipeptidase						2	25920978					Constitutive	12730178		272561.CT138.	ywlC	none				Non-Cytoplasmic	Yes			
CT139	CTL0394	L2/434/BU	471472	oppA	478245	479525	-	5858522															YP_001654478.1	426	O84141	oligopeptide transport system substrate-binding protein						7	25920978					Constitutive	12730178		272561.CT139.	none	none				Non-Cytoplasmic	Yes			
CT140	CTL0395	L2/434/BU	471472	-	479701	480387	+	5858553															YP_001654479.1	228	O84142	hypothetical protein CTL0395						4	25920978					Late	12730178		272561.CT140.	none	none				???	No			
CT141	CTL0396	L2/434/BU	471472	-	480571	481017	+	5858435															YP_001654480.1	148	O84143	protein translocase						1	25920978					Constitutive	12730178												
CT142	CTL0397	L2/434/BU	471472	-	481417	482274	+	5858260															YP_001654481.1	285	O84144	hypothetical protein CTL0397						7	25920978					Late	12730178												
CT143	CTL0398	L2/434/BU	471472	-	482276	483118	+	5858718															YP_001654482.1	280	O84145	hypothetical protein CTL0398						4	25920978					Late	12730178												
CT144	CTL0399	L2/434/BU	471472	-	483118	483984	+	5858109															YP_001654483.1	288	O84146	hypothetical protein CTL0399						6	25920978					Late	12730178												
CT145	CTL0400	L2/434/BU	471472	pkn1	484170	486014	+	5858117															YP_001654484.1	614	O84147	serine-threonine-protein kinase						7	25920978					Constitutive	12730178												
CT146	CTL0401	L2/434/BU	471472	ligA	486025	488016	+	5857985															YP_001654485.1	663	O84148	NAD-dependent DNA ligase LigA						3	25920978					Constitutive	12730178												
CT147	CTL0402	L2/434/BU	471472	-	488114	492463	+	5858451															YP_001654486.1	1449	O84149	integral membrane protein						12	25920978					Very_Late	12730178												
CT148	CTL0403	L2/434/BU	471472	mhpA	492526	494049	-	5858785															YP_001654487.1	507	O84150	FAD-dependent monooxygenase						16	25920978					Constitutive	12730178												
CT151	CTL0406	L2/434/BU	471472	-	495789	497300	+	5858540															YP_001654490.1	503	O84151	lipoprotein releasing systen inner membrane protein						2	25920978					Constitutive	12730178												
CT152	CTL0407	L2/434/BU	471472	-	497305	497982	+	5858537															YP_001654491.1	225	O84152	lipoprotein release ATP-binding protein						1	25920978					Constitutive	12730178												
CT153	CTL0408	L2/434/BU	471472	macP	498133	500565	-	5857993															YP_001654492.1	810	O84153	MAC/perforin family protein						9	25920978					Constitutive	12730178												
CT155	CTL0411	L2/434/BU	471472	-	502302	503240	-	5858073															YP_001654493.1	312	O84154	phosphatidylcholine-hydrolyzing phospholipase D (PLD) protein						3	25920978					Constitutive	12730178												
CT157	CTL0413	L2/434/BU	471472	-	503754	504959	-	5858175															YP_001654494.1	401	O84155	phosphatidylcholine-hydrolyzing phospholipase D (PLD) protein						2	25920978	dele	KH unpub			Constitutive	12730178												
CT161	CTL0417	L2/434/BU	471472	-	507306	508052	-	5858771															YP_001654495.1	248	O84156	hypothetical protein CTL0417						4	25920978					ND	12730178												
CT163	CTL0419	L2/434/BU	471472	lda2	508663	510192	+	5858182															YP_001654496.1	509	O84157	hypothetical protein CTL0419						8	25920978					Constitutive	12730178												
CT169	CTL0422	L2/434/BU	471472	trpR	511407	511691	+	5858190															YP_001654498.1	94	O84158	Trp operon repressor						0	25920978					Constitutive	12730178												
CT170	CTL0423	L2/434/BU	471472	trpB	512040	513218	+	5858806															YP_001654499.1	392	O84159	tryptophan synthase subunit beta						11	25920978					Constitutive	12730178												
CT171	CTL0424	L2/434/BU	471472	trpA	513211	513972	+	5858808															YP_001654500.1	253	O84160	tryptophan synthase subunit alpha						4	25920978					Constitutive	12730178												
CT172.1	CTL0425	L2/434/BU																														1	25920978																		
CT172.1	CTL0426	L2/434/BU	471472	-	514761	515006	-	5858700															YP_001654502.2	81	O84161	hypothetical protein CTL0426						2	25920978					Constitutive	12730178												
CT175	CTL0427	L2/434/BU	471472	oppA2	515293	516882	+	5858503															YP_001654503.1	529	O84162	oligopeptide transport system substrate-binding protein						1	25920978					Early	12730178												
CT176	CTL0428	L2/434/BU	471472	dsbB	516909	517316	-	5858535															YP_001654504.1	135	O84163	disulfide oxidoreductase						0	25920978					ND	12730178												
CT177	CTL0429	L2/434/BU	471472	dsbG	517313	518029	-	5858475															YP_001654505.1	238	O84164	disulfide bond chaperone						3	25920978					Constitutive	12730178												
CT178	CTL0430	L2/434/BU	471472	-	518175	519389	+	5858655															YP_001654506.1	404	O84165	integral membrane protein						2	25920978					Constitutive	12730178												
CT179	CTL0431	L2/434/BU	471472	-	519391	520050	-	5858456															YP_001654507.2	219	O84166	hypothetical protein CTL0431						2	25920978					Constitutive	12730178												
CT180	CTL0432	L2/434/BU	471472	tauB	520047	520739	-	5858552															YP_001654508.1	230	O84167	ABC transporter ATP-binding protein						1	25920978					Constitutive	12730178												
CT181	CTL0433	L2/434/BU	471472	-	521047	521757	-	5857927															YP_001654509.1	236	O84168	hypothetical protein CTL0433						3	25920978					Late	12730178												
CT182	CTL0434	L2/434/BU	471472	kdsB	522125	522889	+	5858046															YP_001654510.1	254	O84169	3-deoxy-manno-octulosonate cytidylyltransferase						1	25920978					Constitutive	12730178												
CT183	CTL0435	L2/434/BU	471472	pyrG	522865	524484	+	5858425															YP_001654511.1	539	O84170	CTP synthetase						9	25920978					Constitutive	12730178												
CT184	CTL0436	L2/434/BU	471472	-	524471	524917	+	5858009															YP_001654512.1	148	O84171	Holliday junction resolvase-like protein						1	25920978					ND	12730178												
CT185	CTL0437	L2/434/BU	471472	zwf	525034	526557	+	5858195															YP_001654513.1	507	O84172	glucose-6-phosphate 1-dehydrogenase						3	25920978	subst	KH unpub			Constitutive	12730178												
CT186	CTL0438	L2/434/BU	471472	devB	526582	527352	+	5857940															YP_001654514.1	256	O84173	6-phosphogluconolactonase						0	25920978					Constitutive	12730178												
CT187	CTL0439	L2/434/BU	471472	dnaX	527349	528221	-	5858210															YP_001654515.1	290	O84174	DNA polymerase III subunit delta\'						2	25920978					Constitutive	12730178												
CT188	CTL0440	L2/434/BU	471472	tmk	528235	528846	-	5858199															YP_001654516.1	203	O84175	thymidylate kinase						2	25920978					Constitutive	12730178												
CT189	CTL0441	L2/434/BU	471472	gyrA	528848	531358	-	5858742															YP_001654517.1	836	O84176	DNA gyrase subunit A						7	25920978					ND	12730178												
CT190	CTL0442	L2/434/BU	471472	gyrB	531373	533787	-	5858149															YP_001654518.1	804	O84177	DNA gyrase subunit B						5	25920978					Constitutive	12730178												
CT191	CTL0443	L2/434/BU	471472	-	533790	534140	-	5858172															YP_001654519.1	116	O84178	hypothetical protein CTL0443						3	25920978					Constitutive	12730178												
CT192	CTL0444	L2/434/BU	471472	-	534287	534982	-	5858508															YP_001654520.1	231	O84179	hypothetical protein CTL0444						6	25920978					Constitutive	12730178												
CT193	CTL0445	L2/434/BU	471472	tgt	535086	536204	-	5858126															YP_001654521.1	372	O84180	queuine tRNA-ribosyltransferase						3	25920978					Constitutive	12730178												
CT194	CTL0446	L2/434/BU	471472	mgtE	536331	537743	-	5858404															YP_001654522.1	470	O84181	magnesium transport protein						0	25920978					Constitutive	12730178												
CT195	CTL0447	L2/434/BU	471472	-	538183	539274	-	5858198															YP_001654523.1	363	O84182	integral membrane protein						10	25920978					Constitutive	12730178												
CT196	CTL0448	L2/434/BU	471472	-	539500	539820	+	5858114															YP_001654524.1	106	O84183	hypothetical protein CTL0448						2	25920978					Constitutive	12730178												
CT197	CTL0449	L2/434/BU	471472	gcp	539896	540912	+	5858728															YP_001654525.1	338	O84184	DNA-binding/iron metalloprotein/AP endonuclease						1	25920978					Constitutive	12730178												
CT198	CTL0450	L2/434/BU	471472	oppA3	540876	542432	+	5858204															YP_001654526.1	518	O84185	oligopeptide transport system substrate-binding protein						1	25920978					Constitutive	12730178												
CT199	CTL0451	L2/434/BU	471472	oppB	542591	543532	+	5858443															YP_001654527.1	313	O84186	oligopeptide transport system membrane permease						1	25920978					Constitutive	12730178												
CT200	CTL0452	L2/434/BU	471472	oppC	543564	544409	+	5858551															YP_001654528.1	281	O84187	oligopeptide transport system membrane permease						6	25920978					Constitutive	12730178												
CT201	CTL0453	L2/434/BU	471472	oppD	544402	545235	+	5858428															YP_001654529.1	277	O84188	oligopeptide transport system ATP-binding protein						4	25920978					Constitutive	12730178												
CT202	CTL0454	L2/434/BU	471472	oppF	545250	545993	+	5858429															YP_001654530.1	247	O84189	oligopeptide transport system ATP-binding protein						0	25920978					Constitutive	12730178												
CT203	CTL0455	L2/434/BU	471472	-	546305	547054	+	5858072															YP_001654531.1	249	O84190	hypothetical protein CTL0455						1	25920978	subst	KH unpub			Constitutive	12730178												
CT204	CTL0456	L2/434/BU	471472	-	547084	548499	+	5858127															YP_001654532.1	471	O84191	sodium:sulfate symporter						2	25920978					Constitutive	12730178												
CT205	CTL0457	L2/434/BU	471472	pfkA	548519	550180	+	5858523															YP_001654533.1	553	O84192	diphosphate--fructose-6-phosphate 1-phosphotransferase						0	25920978					Constitutive	12730178												
CT206	CTL0458	L2/434/BU	471472	-	550189	551037	+	5858657															YP_001654534.1	282	O84193	hypothetical protein CTL0458						0	25920978					Constitutive	12730178												
CT207	CTL0459	L2/434/BU	471472	pfkA_2	551019	552665	+	5858705															YP_001654535.1	548	O84194	diphosphate--fructose-6-phosphate 1-phosphotransferase						3	25920978					Constitutive	12730178												
CT208	CTL0460	L2/434/BU	471472	gseA	552911	554206	-	5858288															YP_001654536.1	431	O84195	3-deoxy-D-manno-octulosonic-acid transferase						0	25920978					Constitutive	12730178												
CT209	CTL0461	L2/434/BU	471472	leuS	554203	556662	-	5858499															YP_001654537.1	819	O84196	leucyl-tRNA synthetase						12	25920978					Constitutive	12730178												
CT210	CTL0462	L2/434/BU	471472	hemL	556859	558127	+	5858804															YP_001654538.1	422	O84197	glutamate-1-semialdehyde aminotransferase						4	25920978					Constitutive	12730178												
CT211	CTL0463	L2/434/BU	471472	-	558119	558688	-	5858810															YP_001654539.1	189	O84198	hypothetical protein CTL0463						1	25920978					Constitutive	12730178												
CT212	CTL0464	L2/434/BU	471472	-	558708	559154	-	5858168															YP_001654540.1	148	O84199	hypothetical protein CTL0464						0	25920978					Late	12730178												
CT213	CTL0465	L2/434/BU	471472	rpiA	559144	559872	-	5858696															YP_001654541.1	242	O84200	ribose-5-phosphate isomerase A						2	25920978					Late	12730178												
CT214	CTL0466	L2/434/BU	471472	-	559967	561610	-	5858153															YP_001654542.1	547	O84201	hypothetical protein CTL0466						10	25920978					Late	12730178												
CT215	CTL0467	L2/434/BU	471472	dhnA	561914	562960	+	5858146															YP_001654543.1	348	O84202	fructose-bisphosphate aldolase						2	25920978					Mid_Late	12730178												
CT216	CTL0468	L2/434/BU	471472	xasA	562974	564374	+	5858680															YP_001654544.1	466	O84203	glutamate/gamma-aminobutyrate antiporter						4	25920978					Mid_Late	12730178												
CT217	CTL0469	L2/434/BU	471472	-	564468	565232	+	5858815															YP_001654545.1	254	O84204	hypothetical protein CTL0469						2	25920978					Constitutive	12730178												
CT218	CTL0470	L2/434/BU	471472	surE	565363	566214	+	5858766															YP_001654546.1	283	O84205	stationary phase survival protein SurE						1	25920978					Mid_Late	12730178												
CT219	CTL0471	L2/434/BU	471472	ubiA	566326	567234	+	5858327															YP_001654547.1	302	O84206	prenyltransferase						1	25920978					Constitutive	12730178												
CT220	CTL0472	L2/434/BU	471472	-	567231	567809	+	5858821															YP_001654548.1	192	O84207	aromatic acid decarboxylase						3	25920978					Constitutive	12730178												
CT221	CTL0473	L2/434/BU	471472	-	567806	568702	-	5858144															YP_001654549.1	298	O84208	hypothetical protein CTL0473						1	25920978					Constitutive	12730178												
CT222	CTL0475	L2/434/BU	471472	-	569159	569545	-	5858542															YP_001654551.1	128	O84209	hypothetical protein CTL0475						2	25920978					Constitutive	12730178												
CT223	CTL0476	L2/434/BU	471472	ipaM	569687	570493	-	5858723															YP_001654552.1	268	O84210	hypothetical protein CTL0476						3	25920978					Constitutive	12730178												
CT224	CTL0477	L2/434/BU	471472	-	570885	571328	-	5858164															YP_001654553.1	147		hypothetical protein CTL0477						1	25920978					ND	12730178												
CT225	CTL0477A	L2/434/BU	471472	-	571436	571804	-	5857945															YP_001654554.1	122	O84211	hypothetical protein CTL0477A						1	25920978					ND	12730178												
CT226	CTL0478	L2/434/BU	471472	-	571903	572418	-	5858000															YP_001654555.1	171	O84212	hypothetical protein CTL0478						6	25920978					Constitutive	12730178												
CT227	CTL0479	L2/434/BU	471472	-	572547	572948	-	5858589															YP_001654556.1	133	O84213	hypothetical protein CTL0479						2	25920978					Constitutive	12730178												
CT228	CTL0480	L2/434/BU	471472	-	573229	573819	-	5858580															YP_001654557.1	196	O84214	hypothetical protein CTL0480						1	25920978					Constitutive	12730178												
CT229	CTL0481	L2/434/BU	471472	cpoS	573969	574616	-	5858598															YP_001654558.1	215	O84215	hypothetical protein CTL0481						6	25920978					Constitutive	12730178												
CT230	CTL0482	L2/434/BU	471472	-	574842	576089	+	5858518															YP_001654559.1	415	O84216	sodium:dicarboxylate symport protein						1	25920978					Mid_Late	12730178												
CT231	CTL0483	L2/434/BU	471472	-	576273	577745	+	5858493															YP_001654560.1	490	O84217	sodium-dependent amino acid transporter						2	25920978					Constitutive	12730178												
CT232	CTL0484	L2/434/BU	471472	incB	577850	578197	+	5858593															YP_001654561.1	115	O84218	inclusion membrane protein B						2	25920978					Constitutive	12730178												
CT233	CTL0485	L2/434/BU	471472	incC	578274	578810	+	5858169															YP_001654562.1	178	O84219	inclusion membrane protein C						3	25920978					Early	12730178												
CT234	CTL0486	L2/434/BU	471472	-	578868	581654	+	5858147															YP_001654563.1	928	O84220	membrane transport protein						3	25920978					Constitutive	12730178												
CT235	CTL0487	L2/434/BU	471472	-	581683	582096	+	5858180															YP_001654564.1	137	O84221	Crp family transcriptional regulator						0	25920978					ND	12730178												
CT237	CTL0489	L2/434/BU	471472	fabG	582759	583505	-	5858646															YP_001654566.1	248	O84222	3-ketoacyl-ACP reductase						2	25920978					Mid_Late	12730178												
CT238	CTL0490	L2/434/BU	471472	fabD	583502	584428	-	5858671															YP_001654567.1	308	O84223	malonyl-CoA						0	25920978					Mid_Late	12730178												
CT239	CTL0491	L2/434/BU	471472	fabH	584445	585428	-	5857957															YP_001654568.1	327	O84224	3-oxoacyl-ACP synthase						3	25920978					Mid_Late	12730178												
CT240	CTL0492	L2/434/BU	471472	recR	585566	586168	+	5857953															YP_001654569.1	200	O84225	recombination protein RecR						1	25920978					Constitutive	12730178												
CT241	CTL0493	L2/434/BU	471472	-	586542	588920	+	5858510															YP_001654570.1	792	O84226	outer membrane protein						7	25920978	subst	KH unpub			Mid_Late	12730178												
CT243	CTL0495	L2/434/BU	471472	lpxD	589536	590600	+	5858495															YP_001654572.1	354	O84227	UDP-3-O						2	25920978					Constitutive	12730178												
CT244	CTL0496	L2/434/BU	471472	-	590597	591793	-	5858758															YP_001654573.1	398	O84228	hypothetical protein CTL0496						8	25920978					ND	12730178												
CT245	CTL0497	L2/434/BU	471472	pdhA	592015	593037	+	5858040															YP_001654574.1	340	O84229	pyruvate dehydrogenase E1 component subunit alpha						2	25920978					Constitutive	12730178												
CT246	CTL0498	L2/434/BU	471472	pdhB	593030	594016	+	5858662															YP_001654575.1	328	O84230	pyruvate dehydrogenase E1 component subunit beta						1	25920978					Constitutive	12730178												
CT247	CTL0499	L2/434/BU	471472	pdhC	594021	595310	+	5858441															YP_001654576.1	429	O84231	branched-chain alpha-keto acid dehydrogenase subunit E2						1	25920978					Constitutive	12730178												
CT248	CTL0500	L2/434/BU	471472	glgP	595337	597781	-	5858737															YP_001654577.1	814	O84232	glycogen phosphorylase						7	25920978					Late	12730178												
CT250	CTL0501	L2/434/BU	471472	dnaA	598341	599711	-	5858599															YP_001654579.1	456	O84233	chromosomal replication initiation protein						3	25920978					Constitutive	12730178												
CT251	CTL0503	L2/434/BU	471472	oxaA	599788	602151	-	5858197															YP_001654580.1	787	O84234	inner membrane protein translocase component YidC						8	25920978					Constitutive	12730178												
CT252	CTL0504	L2/434/BU	471472	lgt	602461	603279	-	5858446															YP_001654581.1	272	O84235	prolipoprotein diacylglyceryl transferase						0	25920978					Constitutive	12730178												
CT253	CTL0505	L2/434/BU	471472	-	603530	604177	+	5858316															YP_001654582.1	215	O84236	lipoprotein						4	25920978					Constitutive	12730178												
CT254	CTL0506	L2/434/BU	471472	-	604181	604951	+	5858698															YP_001654583.1	256	O84237	inner membrane protein						1	25920978					Constitutive	12730178												
CT255	CTL0507	L2/434/BU	471472	-	605159	605542	-	5858603															YP_001654584.1	127	O84238	hypothetical protein CTL0507						2	25920978					Constitutive	12730178												
CT256	CTL0508	L2/434/BU	471472	-	605731	606975	+	5858086															YP_001654585.1	414	O84239	membrane transport protein						6	25920978					Constitutive	12730178												
CT257	CTL0509	L2/434/BU	471472	-	606965	608179	+	5858416															YP_001654586.1	404	O84240	hypothetical protein CTL0509						2	25920978					Constitutive	12730178												
CT258	CTL0510	L2/434/BU	471472	-	608183	609307	-	5858396															YP_001654587.1	374	O84241	cysteine desulfurase						1	25920978					Constitutive	12730178												
CT259	CTL0511	L2/434/BU	471472	-	609313	610059	-	5858252															YP_001654588.1	248	O84242	protein phosphatase 2C						5	25920978					Mid_Late	12730178												
CT260	CTL0512	L2/434/BU	471472	mscS?	610378	610869	+	5858282															YP_001654589.1	163	O84243	hypothetical protein CTL0512						0	25920978					Constitutive	12730178												
CT261	CTL0513	L2/434/BU	471472	dnaQ	610878	611576	+	5857933															YP_001654590.1	232	O84244	DNA polymerase III subunit epsilon						1	25920978					Constitutive	12730178												
CT262	CTL0514	L2/434/BU	471472	-	611573	612343	+	5858787															YP_001654591.1	256	O84245	hypothetical protein CTL0514						0	25920978					Constitutive	12730178												
CT263	CTL0515	L2/434/BU	471472	-	612336	612926	+	5858341															YP_001654592.1	196	O84246	hypothetical protein CTL0515						2	25920978					Constitutive	12730178												
CT264	CTL0516	L2/434/BU	471472	-	612947	614887	-	5858391															YP_001654593.1	646	O84247	ABC transporter ATP-binding protein/permease						1	25920978					Constitutive	12730178												
CT265	CTL0517	L2/434/BU	471472	accA	614853	615827	-	5858233															YP_001654594.1	324	O84248	acetyl-CoA carboxylase carboxyltransferase subunit alpha						1	25920978					Constitutive	12730178												
CT266	CTL0518	L2/434/BU	471472	-	615960	617141	-	5858041															YP_001654595.1	393	O84249	hypothetical protein CTL0518						1	25920978					Constitutive	12730178												
CT267	CTL0519	L2/434/BU	471472	ihfA	617259	617561	-	5858371															YP_001654596.1	100	O84250	integration host factor subunit alpha						0	25920978					Mid_Late	12730178												
CT268	CTL0520	L2/434/BU	471472	amiA	617781	618560	-	5858427															YP_001654597.1	259	O84251	N-acetylmuramoyl alanine amidase						0	25920978					Constitutive	12730178												
CT269	CTL0521	L2/434/BU	471472	murE	618475	619926	-	5858472															YP_001654598.1	483	O84252	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase						1	25920978					Constitutive	12730178												
CT270	CTL0522	L2/434/BU	471472	pbp	620249	622192	-	5858504															YP_001654599.1	647	O84253	penicillin-binding protein						6	25920978					Constitutive	12730178												
CT271	CTL0523	L2/434/BU	471472	-	622179	622466	-	5858686															YP_001654600.1	95	O84254	hypothetical protein CTL0523						0	25920978					ND	12730178												
CT272	CTL0524	L2/434/BU	471472	mraW	622466	623368	-	5857921															YP_001654601.1	300	O84255	S-adenosyl-methyltransferase MraW						1	25920978					Constitutive	12730178												
CT273	CTL0525	L2/434/BU	471472	-	623646	624212	+	5858465															YP_001654602.1	188	O84256	hypothetical protein CTL0525						1	25920978					Mid_Late	12730178												
CT274	CTL0526	L2/434/BU	471472	-	624219	624638	+	5858415															YP_001654603.1	139	O84257	hypothetical protein CTL0526						0	25920978					Constitutive	12730178												
CT275	CTL0527	L2/434/BU	471472	dnaA	624880	626247	+	5857906															YP_001654604.1	455	O84258	chromosomal replication initiation protein						0	25920978					Constitutive	12730178												
CT276	CTL0528	L2/434/BU	471472	-	626299	626883	+	5858196															YP_001654605.1	194	O84259	hypothetical protein CTL0528						1	25920978					Constitutive	12730178												
CT277	CTL0529	L2/434/BU	471472	-	626855	627514	-	5858326															YP_001654606.1	219	O84260	hypothetical protein CTL0529						6	25920978					ND	12730178												
