Entry	Gene names  (ordered locus )	Gene names  (primary )	Protein names	Organism	Cross-reference (RefSeq)	Cross-reference (EMBL)	EnsemblBacteria transcript
Q1D5L5	MXAN_3878		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553888.1;	CP000113;	ABF91438;
Q1DAU5	MXAN_1993	rplM	50S ribosomal protein L13	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90008;
Q1D6P5	MXAN_3483		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553514.1;	CP000113;	ABF88154;
Q1CXF6	MXAN_6800	ppsA	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90724;
Q1CZR0	MXAN_5978		Putative phosphonate-binding protein	Myxococcus xanthus (strain DK 1622)	WP_011555927.1;	CP000113;	ABF87716;
Q1CX50	MXAN_6909		Putative 3-oxoacyl-(Acyl-carrier-protein) reductase	Myxococcus xanthus (strain DK 1622)	WP_011556829.1;	CP000113;	ABF89312;
Q1DBJ7	MXAN_1725		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90605;
Q1DE09	MXAN_0853		Putative 3-oxoacyl-(Acyl-carrier-protein) synthase	Myxococcus xanthus (strain DK 1622)	WP_011550974.1;	CP000113;	ABF92876;
Q1D9F9	MXAN_2495		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552566.1;	CP000113;	ABF86007;
Q1DDA2	MXAN_1111	pccA	Propionyl-CoA carboxylase, alpha subunit (EC 6.4.1.3)	Myxococcus xanthus (strain DK 1622)	WP_011551231.1;	CP000113;	ABF91598;
Q1D8P0	MXAN_2766		Putative gas vesicle protein GvpK	Myxococcus xanthus (strain DK 1622)	WP_011552833.1;	CP000113;	ABF88811;
Q1D901	MXAN_2653		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552723.1;	CP000113;	ABF90688;
Q1DD40	MXAN_1173		ErfK/YbiS/YcfS/YnhG family protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89954;
Q1D3Z6	MXAN_4456		Thioesterase family protein	Myxococcus xanthus (strain DK 1622)	WP_011554454.1;	CP000113;	ABF87411;
Q1DGD6	MXAN_0001	dnaA	Chromosomal replication initiator protein DnaA	Myxococcus xanthus (strain DK 1622)	WP_011550153.1;	CP000113;	ABF90646;
Q1D1E5	MXAN_5378		Putative sugar ABC transporter, permease protein/periplasmic sugar-binding protein	Myxococcus xanthus (strain DK 1622)	WP_011555343.1;	CP000113;	ABF89953;
Q1D9Y2	MXAN_2321		Beta-lactamase	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87120;
Q1D8D0	MXAN_2882		Antibiotic biosynthesis monooxygenase family protein	Myxococcus xanthus (strain DK 1622)	WP_011552943.1;	CP000113;	ABF88228;
Q1DDW5	MXAN_0897		Hydroxyneurosporene dehydrogenase	Myxococcus xanthus (strain DK 1622)	WP_011551018.1;	CP000113;	ABF87116;
Q1CXC1	MXAN_6835		Putative deoxyribonuclease I-like protein	Myxococcus xanthus (strain DK 1622)	WP_011556760.1;	CP000113;	ABF88112;
Q1CXP6	MXAN_6710		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556635.1;	CP000113;	ABF89427;
Q1CYF0	MXAN_6449		B12 binding/radical SAM domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556381.1;	CP000113;	ABF88423;
Q1D0U3	MXAN_5591		FHA domain/tetratricopeptide repeat protein	Myxococcus xanthus (strain DK 1622)	WP_011555545.1;	CP000113;	ABF93074;
Q1D9L8	MXAN_2435		TPR domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90161;
Q1DB49	MXAN_1878		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551980.1;	CP000113;	ABF87613;
Q1D7U0	MXAN_3080		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553130.1;	CP000113;	ABF87259;
Q1D7Y7	MXAN_3027		Glycosyl transferase, group 1 (EC 2.4.1.-)	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88249;
Q1DAJ5	MXAN_2100		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87362;
Q1DDA9	MXAN_1104		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551224.1;	CP000113;	ABF89232;
Q1CW62	MXAN_7248		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557167.1;	CP000113;	ABF92555;
Q1DBX6	MXAN_1595		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551706.1;	CP000113;	ABF91311;
Q1D669	MXAN_3667		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91422;
Q1D9R7	MXAN_2386		Putative sensory box histidine kinase/response regulator	Myxococcus xanthus (strain DK 1622)	WP_011552461.1;	CP000113;	ABF86938;
Q1DAP8	MXAN_2046	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207) (tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmL)	Myxococcus xanthus (strain DK 1622)	WP_011552130.1;	CP000113;	ABF87195;
Q1CVQ1	MXAN_7416		Polysaccharide biosynthesis protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89586;
Q1DFK2	MXAN_0291		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87461;
Q1DG99	MXAN_0041		Glycosyl hydrolase, family 15	Myxococcus xanthus (strain DK 1622)	WP_011550190.1;	CP000113;	ABF91930;
Q1DFL6	MXAN_0276	tonB	Ferric siderophore transporter, periplasmic energy transduction protein TonB	Myxococcus xanthus (strain DK 1622)	WP_011550421.1;	CP000113;	ABF91400;
Q1DDM9	MXAN_0983		Heavy metal efflux pump, CzcA family	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92621;
Q1CYG4	MXAN_6435		Peptidase, M48 family	Myxococcus xanthus (strain DK 1622)	WP_011556367.1;	CP000113;	ABF86928;
Q1D3N4	MXAN_4571	ppc	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	Myxococcus xanthus (strain DK 1622)	WP_011554566.1;	CP000113;	ABF88461;
Q1D3Y7	MXAN_4465		Sensor histidine kinase/response rgulator	Myxococcus xanthus (strain DK 1622)	WP_011554463.1;	CP000113;	ABF92866;
Q1CZN7	MXAN_6001		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555950.1;	CP000113;	ABF92902;
Q1CX19	MXAN_6940		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87235;
Q1D0L6	MXAN_5669		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90141;
Q1D1B0	MXAN_5416		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555378.1;	CP000113;	ABF91860;
Q1DFN9	MXAN_0253		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87951;
Q1CWF0	MXAN_7160	alr	Alanine racemase (EC 5.1.1.1)	Myxococcus xanthus (strain DK 1622)	WP_011557079.1;	CP000113;	ABF93060;
Q1D5Z3	MXAN_3748		Aminotransferase, class II	Myxococcus xanthus (strain DK 1622)	WP_011553761.1;	CP000113;	ABF87747;
Q1DDC5	MXAN_1088		Serine-threonine protein kinase (EC 2.7.11.1)	Myxococcus xanthus (strain DK 1622)	WP_011551208.1;	CP000113;	ABF87558;
Q1CVM1	MXAN_7447		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557355.1;	CP000113;	ABF90320;
Q1D035	MXAN_5851		Acetyltransferase, GNAT family	Myxococcus xanthus (strain DK 1622)	WP_011555802.1;	CP000113;	ABF89628;
Q1CXE4	MXAN_6812		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91724;
Q1CYF4	MXAN_6445		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556377.1;	CP000113;	ABF89822;
Q1D1Y2	MXAN_5188	yfiA	Ribosomal subunit interface protein	Myxococcus xanthus (strain DK 1622)	WP_011555159.1;	CP000113;	ABF91441;
Q1D9V1	MXAN_2352	thrS	Threonine--tRNA ligase (EC 6.1.1.3)	Myxococcus xanthus (strain DK 1622)	WP_011552427.1;	CP000113;	ABF86649;
Q1DB41	MXAN_1886		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551988.1;	CP000113;	ABF89282;
Q1D334	MXAN_4777	phoP1	DNA-binding response regulator phoP1	Myxococcus xanthus (strain DK 1622)	WP_011554764.1;	CP000113;	ABF92342;
Q1D4P5	MXAN_4203		Sensor histidine kinase (EC 2.7.3.-)	Myxococcus xanthus (strain DK 1622)	WP_011554206.1;	CP000113;	ABF92915;
Q1D6J7	MXAN_3532	menE	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	Myxococcus xanthus (strain DK 1622)	WP_011553562.1;	CP000113;	ABF92964;
Q1D7R0	MXAN_3110		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553160.1;	CP000113;	ABF88044;
Q1DDT5	MXAN_0927		Cysteine dioxygenase, type I	Myxococcus xanthus (strain DK 1622)	WP_011551048.1;	CP000113;	ABF90497;
Q1D7F4	MXAN_3220		Prephenate dehydratase (EC 4.2.1.51)	Myxococcus xanthus (strain DK 1622)	WP_011553265.1;	CP000113;	ABF92585;
Q1D6D7	MXAN_3598		DNA-cytosine methyltransferase	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92207;
Q1D987	MXAN_2567		Peptidase, M50A (S2P protease) subfamily (EC 3.4.24.-)	Myxococcus xanthus (strain DK 1622)	WP_011552637.1;	CP000113;	ABF91744;
Q1DEV1	MXAN_0553		Transport permease protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86762;
Q1D4B4	MXAN_4335		Hydrolase, NUDIX family	Myxococcus xanthus (strain DK 1622)	WP_011554337.1;	CP000113;	ABF91962;
Q1D4C1	MXAN_4328		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89584;
Q1DAA2	MXAN_2199		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91554;
Q1DFQ9	MXAN_0232		B12 binding domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550378.1;	CP000113;	ABF90394;
Q1DDE7	MXAN_1066		PTS system, IIA component	Myxococcus xanthus (strain DK 1622)	WP_011551186.1;	CP000113;	ABF90808;
Q1CWG3	MXAN_7147		Efflux transporter, RND family, MFP subunit	Myxococcus xanthus (strain DK 1622)	WP_011557066.1;	CP000113;	ABF92255;
Q1CZM2	MXAN_6016		Oxidoreductase, NAD-dependent	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92507;
Q1D0R3	MXAN_5621		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555575.1;	CP000113;	ABF90456;
Q1DCE9	MXAN_1417		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551534.1;	CP000113;	ABF90426;
Q1DEC3	MXAN_0734		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF85922;
Q1DB20	MXAN_1909		Methyltransferase, RsmB/NOP family	Myxococcus xanthus (strain DK 1622)	WP_011552009.1;	CP000113;	ABF92880;
Q1DFH2	MXAN_0326		Phage tail collar domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550465.1;	CP000113;	ABF91669;
Q1CWP5	MXAN_7065		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556984.1;	CP000113;	ABF90522;
Q1CWU8	MXAN_7012		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556931.1;	CP000113;	ABF86109;
Q1CYG6	MXAN_6433		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556365.1;	CP000113;	ABF88744;
Q1D3A8	MXAN_4699		Putative L-lysine 2,3-aminomutase	Myxococcus xanthus (strain DK 1622)	WP_011554690.1;	CP000113;	ABF87763;
Q1CZW7	MXAN_5919	etfA	Electron transfer flavoprotein, alpha subunit	Myxococcus xanthus (strain DK 1622)	WP_011555870.1;	CP000113;	ABF90025;
Q1D8E8	MXAN_2864		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552925.1;	CP000113;	ABF89899;
Q1D265	MXAN_5104	argF	Ornithine carbamoyltransferase (EC 2.1.3.3)	Myxococcus xanthus (strain DK 1622)	WP_011555078.1;	CP000113;	ABF87838;
Q1D6H1	MXAN_3559		Ribosomal protein S1 family protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91827;
Q1DFT2	MXAN_0209		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88772;
Q1D206	MXAN_5164		OmpA family protein	Myxococcus xanthus (strain DK 1622)	WP_011555135.1;	CP000113;	ABF92552;
Q1D5Z2	MXAN_3749		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011553762.1;	CP000113;	ABF86312;
Q1DB27	MXAN_1901		Transposase, IS5 family	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF85862;
Q1DBP1	MXAN_1680		DNA-binding response regulator	Myxococcus xanthus (strain DK 1622)	WP_011551791.1;	CP000113;	ABF87489;
Q1DBT2	MXAN_1639	rfbE	CDP-tyvelose-2-epimerase (EC 5.1.3.-)	Myxococcus xanthus (strain DK 1622)	WP_011551750.1;	CP000113;	ABF87909;
Q1DE21	MXAN_0840		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011550962.1;	CP000113;	ABF89286;
Q1CX71	MXAN_6886		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556810.1;	CP000113;	ABF88957;
Q1CY08	MXAN_6595		TPR domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556523.1;	CP000113;	ABF86356;
Q1D9J8	MXAN_2456		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91484;
Q1DB87	MXAN_1840		Conserved domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88794;
Q1DF29	MXAN_0474		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89257;
Q1CWR4	MXAN_7046		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556965.1;	CP000113;	ABF89136;
Q1D478	MXAN_4372		DNA-binding protein	Myxococcus xanthus (strain DK 1622)	WP_011554373.1;	CP000113;	ABF86340;
Q1D505	MXAN_4090	carS	Carotenogenesis protein carS	Myxococcus xanthus (strain DK 1622)	WP_011554097.1;	CP000113;	ABF92626;
Q1D9M5	MXAN_2428		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552503.1;	CP000113;	ABF87939;
Q1CW94	MXAN_7216		ICE-like protease (Caspase) p20 domain protein	Myxococcus xanthus (strain DK 1622)	WP_011557135.1;	CP000113;	ABF86628;
Q1D0V8	MXAN_5576		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011555530.1;	CP000113;	ABF91217;
Q1D2Q4	MXAN_4912		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91757;
Q1D564	MXAN_4030		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554039.1;	CP000113;	ABF87943;
Q1DFP2	MXAN_0250		ABC transporter, ATP-binding protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90078;
Q1CY88	MXAN_6512		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556443.1;	CP000113;	ABF87596;
Q1CYL7	MXAN_6382		FHA domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556314.1;	CP000113;	ABF91571;
Q1D4G8	MXAN_4280		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88523;
Q1CVL5	MXAN_7453		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87746;
Q1CWI6	MXAN_7124		Iron-sulfur cluster-binding protein, Rieske family	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF86401;
Q1CVK7	MXAN_7462		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011557369.1;	CP000113;	ABF89438;
Q1CWE6	MXAN_7164		Universal stress family protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90362;
Q1D283	MXAN_5086		Class I glutamine amidotransferase family protein	Myxococcus xanthus (strain DK 1622)	WP_011555060.1;	CP000113;	ABF91717;
Q1D8T7	MXAN_2719		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552786.1;	CP000113;	ABF91916;
Q1D496	MXAN_4354		OsmC-like protein	Myxococcus xanthus (strain DK 1622)	WP_011554355.1;	CP000113;	ABF91627;
Q1DD68	MXAN_1145		DnaJ domain/tetratricopeptide repeat domain protein	Myxococcus xanthus (strain DK 1622)	WP_011551265.1;	CP000113;	ABF88499;
Q1D9K5	MXAN_2448	fliQ	Flagellar biosynthetic protein FliQ	Myxococcus xanthus (strain DK 1622)	WP_002637061.1;	CP000113;	ABF86537;
Q1DA34	MXAN_2268		Putative permease	Myxococcus xanthus (strain DK 1622)	WP_011552344.1;	CP000113;	ABF88547;
Q1D284	MXAN_5085		Putative phosphomethylpyrimidine kinase	Myxococcus xanthus (strain DK 1622)	WP_011555059.1;	CP000113;	ABF89178;
Q1DG02	MXAN_0138		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550285.1;	CP000113;	ABF93161;
Q1CYW3	MXAN_6283		Conserved domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556221.1;	CP000113;	ABF90472;
Q1D1B1	MXAN_5415		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF89960;
Q1D2K5	MXAN_4962		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92001;
Q1D8N5	MXAN_2771		Gas vesicle protein, GvpL/GvpF family	Myxococcus xanthus (strain DK 1622)	WP_011552838.1;	CP000113;	ABF90032;
Q1D4L6	MXAN_4232		Response regulator	Myxococcus xanthus (strain DK 1622)	WP_011554235.1;	CP000113;	ABF86281;
Q1D735	MXAN_3339		ABC transporter, ATP-binding protein	Myxococcus xanthus (strain DK 1622)	WP_011553374.1;	CP000113;	ABF86791;
Q1D3S5	MXAN_4530		Polyketide synthase type I	Myxococcus xanthus (strain DK 1622)	WP_011554525.1;	CP000113;	ABF89709;
Q1CZ76	MXAN_6166		Pyridoxal phosphate-dependent enzyme	Myxococcus xanthus (strain DK 1622)	WP_011556110.1;	CP000113;	ABF86771;
Q1D2T3	MXAN_4883		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554865.1;	CP000113;	ABF86708;
Q1D5P1	MXAN_3850		Putative general stress protein GsiB	Myxococcus xanthus (strain DK 1622)	WP_011553862.1;	CP000113;	ABF90101;
Q1D8U3	MXAN_2713		M23 peptidase domain protein (EC 3.4.24.-)	Myxococcus xanthus (strain DK 1622)	WP_011552780.1;	CP000113;	ABF85950;
Q1D4P1	MXAN_4207		Metallophosphoesterase	Myxococcus xanthus (strain DK 1622)	WP_011554210.1;	CP000113;	ABF92627;
Q1D9T7	MXAN_2366		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011552441.1;	CP000113;	ABF89254;
Q1CVP0	MXAN_7427		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF90041;
Q1CZA6	MXAN_6134		Ig-like domain/kelch domain protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87485;
Q1D038	MXAN_5848		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011555799.1;	CP000113;	ABF91823;
Q1CVH9	MXAN_7491		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88629;
Q1D7E6	MXAN_3228		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF87335;
Q1D8Z5	MXAN_2659		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91659;
Q1DBC2	MXAN_1805		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551910.1;	CP000113;	ABF91260;
Q1DC98	MXAN_1468		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011551584.1;	CP000113;	ABF91957;
Q1DCP6	MXAN_1320	hemU	Hemin ABC transporter, permease protein	Myxococcus xanthus (strain DK 1622)	WP_011551437.1;	CP000113;	ABF87961;
Q1DDT9	MXAN_0923		Oxidoreductase, short chain dehydrogenase/reductase family	Myxococcus xanthus (strain DK 1622)	WP_011551044.1;	CP000113;	ABF91333;
Q1D347	MXAN_4764	ribD	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	Myxococcus xanthus (strain DK 1622)	WP_011554751.1;	CP000113;	ABF86288;
Q1D637	MXAN_3699		Putative regulatory protein, FmdB family	Myxococcus xanthus (strain DK 1622)	WP_011553717.1;	CP000113;	ABF89583;
Q1CYX3	MXAN_6272		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556211.1;	CP000113;	ABF86234;
Q1DBB7	MXAN_1810		RDD family protein	Myxococcus xanthus (strain DK 1622)	WP_011551915.1;	CP000113;	ABF86927;
Q1DC28	MXAN_1543		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551654.1;	CP000113;	ABF89447;
Q1DC75	MXAN_1496		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF92212;
Q1DAR0	MXAN_2034		Enoyl-CoA hydratase/isomerase family protein	Myxococcus xanthus (strain DK 1622)	WP_011552118.1;	CP000113;	ABF91666;
Q1DFE8	MXAN_0351		Thioredoxin domain protein	Myxococcus xanthus (strain DK 1622)	WP_011550489.1;	CP000113;	ABF86427;
Q1DG39	MXAN_0101		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550248.1;	CP000113;	ABF90511;
Q1D3X1	MXAN_4483		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554479.1;	CP000113;	ABF91270;
Q1D5V1	MXAN_3790		3-oxoacid CoA-transferase family, subunit A	Myxococcus xanthus (strain DK 1622)	WP_011553803.1;	CP000113;	ABF93152;
Q1DB86	MXAN_1841		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88216;
Q1D328	MXAN_4783	cynT	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	Myxococcus xanthus (strain DK 1622)	WP_011554770.1;	CP000113;	ABF88656;
Q1CXN8	MXAN_6718		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88150;
Q1DEJ6	MXAN_0659		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011550790.1;	CP000113;	ABF90897;
Q1D013	MXAN_5873	gdhA	Glutamate dehydrogenase	Myxococcus xanthus (strain DK 1622)	WP_011555824.1;	CP000113;	ABF86392;
Q1D3M8	MXAN_4577		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011554572.1;	CP000113;	ABF90012;
Q1D9V3	MXAN_2350	msrB	Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)	Myxococcus xanthus (strain DK 1622)	WP_011552425.1;	CP000113;	ABF92288;
Q1DD87	MXAN_1126		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551246.1;	CP000113;	ABF88838;
Q1D5N4	MXAN_3857	poxB	Pyruvate dehydrogenase	Myxococcus xanthus (strain DK 1622)	WP_011553869.1;	CP000113;	ABF89579;
Q1D5K6	MXAN_3887		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553897.1;	CP000113;	ABF93115;
Q1CXG2	MXAN_6794		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011556719.1;	CP000113;	ABF90531;
Q1CXT2	MXAN_6674		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011556599.1;	CP000113;	ABF85869;
Q1D4F8	MXAN_4290		Putative thioesterase	Myxococcus xanthus (strain DK 1622)	WP_011554293.1;	CP000113;	ABF87447;
Q1D9L7	MXAN_2436		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552511.1;	CP000113;	ABF90353;
Q1DFN3	MXAN_0259		Response regulator	Myxococcus xanthus (strain DK 1622)	WP_011550404.1;	CP000113;	ABF93003;
Q1D1Q9	MXAN_5262		Putative lipoprotein	Myxococcus xanthus (strain DK 1622)	WP_011555229.1;	CP000113;	ABF92971;
Q1D020	MXAN_5866		Putative membrane protein	Myxococcus xanthus (strain DK 1622)	WP_011555817.1;	CP000113;	ABF89925;
Q1DAG9	MXAN_2130		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF91752;
Q1DG37	MXAN_0103		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)		CP000113;	ABF88349;
Q1DE35	MXAN_0825		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011550948.1;	CP000113;	ABF86675;
Q1CXN1	MXAN_6725		PDZ domain protein	Myxococcus xanthus (strain DK 1622)	WP_011556650.1;	CP000113;	ABF92127;
Q1D360	MXAN_4751	cheY	Chemotaxis protein CheY	Myxococcus xanthus (strain DK 1622)	WP_011554738.1;	CP000113;	ABF88585;
Q1D8T6	MXAN_2720		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552787.1;	CP000113;	ABF91675;
Q1DD30	MXAN_1184		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551303.1;	CP000113;	ABF91998;
Q1D0V7	MXAN_5577	ppa	Inorganic pyrophosphatase (EC 3.6.1.1)	Myxococcus xanthus (strain DK 1622)	WP_011555531.1;	CP000113;	ABF88859;
Q1CX53	MXAN_6906		Transcriptional regulator, TetR family	Myxococcus xanthus (strain DK 1622)	WP_011556826.1;	CP000113;	ABF92727;
Q1D6L7	MXAN_3512	carA	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	Myxococcus xanthus (strain DK 1622)	WP_011553542.1;	CP000113;	ABF91170;
Q1D7D4	MXAN_3240		Transcriptional regulator, MarR family	Myxococcus xanthus (strain DK 1622)	WP_011553285.1;	CP000113;	ABF90707;
Q1D8Z0	MXAN_2664		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011552734.1;	CP000113;	ABF87377;
Q1DC60	MXAN_1511		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011551622.1;	CP000113;	ABF86416;
Q1CZQ9	MXAN_5979		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011555928.1;	CP000113;	ABF91376;
Q1D6B8	MXAN_3618		Non-ribosomal peptide synthetase	Myxococcus xanthus (strain DK 1622)	WP_011553636.1;	CP000113;	ABF86985;
Q1D708	MXAN_3368		Uncharacterized protein	Myxococcus xanthus (strain DK 1622)	WP_011553401.1;	CP000113;	ABF93136;
Q1CZ09	MXAN_6235		Transposase, IS630 family, truncated	Myxococcus xanthus (strain DK 1622)	WP_011556177.1;	CP000113;	ABF87080;
Q1D3F8	MXAN_4649		FHA domain protein	Myxococcus xanthus (strain DK 1622)	WP_011554641.1;	CP000113;	ABF92065;
Q1CYT8	MXAN_6310		AhpC/TSA family protein	Myxococcus xanthus (strain DK 1622)	WP_011556243.1;	CP000113;	ABF91462;
